Image Name,Deposit,OpenJoint,Washing,Spalling,Deformation,AttachedDeposit,Nothing
10_Deposit_L1.P27.M285-L1.P27.M286_2018.01.08_D 412 (3).jpg,1,0,0,0,0,0,0
10_Joints_L1.P27.M285-L1.P27.M286_2018.01.08_D 068 (14).jpg,0,0,0,0,0,0,1
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (1).jpg,0,0,0,0,0,0,1
17_Washing_L1.P34.M347-L1.P34.M348_2019.10.17_D 0374 (93).jpg,0,1,1,1,0,0,0
17_Washing_L1.P34.M347-L1.P34.M348_2019.10.17_D 0374 (94).jpg,0,1,1,1,0,0,0
17_Washing_L1.P34.M347-L1.P34.M348_2019.10.17_D 0374 (95).jpg,0,1,1,1,0,0,0
17_Washing_L1.P34.M347-L1.P34.M348_2019.10.17_D 0374 (96).jpg,0,1,1,1,0,0,0
17_Washing_L1.P34.M347-L1.P34.M348_2019.10.17_D 0374 (97).jpg,0,1,1,1,0,0,0
17_Washing_L1.P34.M347-L1.P34.M348_2019.10.17_D 0374 (98).jpg,0,0,1,1,0,0,0
17_Washing_L1.P34.M347-L1.P34.M348_2019.10.17_D 0374 (99).jpg,0,0,1,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (1).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (10).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (11).jpg,0,1,0,0,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (10).jpg,1,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (12).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (13).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (14).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (15).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (16).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (17).jpg,0,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (18).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (19).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (2).jpg,0,1,0,0,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (20).jpg,0,1,0,1,0,0,0
10_OpenJoint_L1.P27.M285-L1.P27.M286_2018.01.08_D 071 (11).jpg,1,1,0,1,0,0,0
18_Joints_L1.P34.M348-L1.P34.M349_2019.10.21_D.compressed 0147 (21).jpg,0,1,0,1,0,0,0
